image_id,is_trade_equipment_photo,is_ice_cream_equipment,equipment_type,equipment_is_branded,photo_quality,photo_crop_quality,analysis_possible,kik_present,kik_sku_count,kik_share_percent,fill_level_percent,has_cup,has_eskimo,has_lakomka,has_cone,has_sandwich,has_bucket,has_poleno,has_briquette,has_large_pack,has_posm,has_monobrand_block,has_foreign_label,has_non_icecream_products,has_empty_sections,is_kik_mixed_with_competitors,status,confidence,expected_violations,comment
photo_001.jpg,true,true,display_freezer,unknown,medium,full,true,true,5,20,80,true,true,true,true,false,false,false,false,false,false,false,unknown,true,false,false,critical,medium,low_kik_share;posm_absent;no_monobrand_block;non_icecream_products_visible,"КИК есть, но доля низкая. Видны стаканчики, эскимо, рожок, лакомка. Нет POSM, не представлены ведёрки, полено и сэндвич. На крышке ларя лежат коробки с выпечкой."
photo_002.jpg,true,true,display_freezer,unknown,medium,full,true,true,8,60,60,true,true,true,true,false,false,true,false,false,false,false,unknown,false,false,true,attention,medium,posm_absent;no_monobrand_block;kik_mixed_with_competitors,"КИК представлен неплохо, но доля не максимальная, заполненность средняя. Нет POSM, нет сэндвича и ведёрок, КИК перемешан с конкурентами, монобрендового блока нет."
photo_003.jpg,true,true,display_freezer,unknown,medium,full,true,true,12,100,70,true,true,false,false,false,false,false,false,false,true,true,unknown,false,false,false,attention,medium,,"КИК занимает весь ларь, SKU много, заполненность около 70%. Не представлены ведёрки, полено и сэндвич."
photo_004.jpg,true,true,display_freezer,unknown,bad,partial,partial,true,13,100,60,true,true,false,false,true,true,true,false,false,true,true,unknown,false,false,false,attention,medium,photo_glare,"КИК занимает весь ларь, SKU много, но заполненность около 60%. На фото есть блики, из-за этого часть признаков может хуже читаться."
photo_005.jpg,true,true,display_freezer,unknown,medium,partial,true,true,15,100,60,true,true,false,true,true,true,true,false,false,true,true,unknown,false,unknown,false,attention,medium,partial_photo,"КИК занимает весь ларь, SKU много, но заполненность около 60%. В ручной разметке POSM отмечены как есть, но в комментарии есть противоречие про отсутствие POSM; считать поле has_posm=true, а противоречие оставить в comment. Фото вертикальное."
photo_006.jpg,true,true,display_freezer,unknown,medium,full,true,true,4,30,80,true,true,false,true,false,false,true,false,false,false,false,unknown,true,false,true,attention,medium,low_kik_share;posm_absent;no_monobrand_block;kik_mixed_with_competitors;non_icecream_products_visible,"КИК есть, но доля низкая — около 30%. SKU мало, основной ассортимент представлен не полностью. Нет POSM, нет монобрендового блока, КИК перемешан с конкурентами. На крышке ларя лежат упаковки с молоком."
photo_007.jpg,true,true,display_freezer,unknown,bad,partial,partial,true,5,20,80,true,false,false,false,false,false,true,false,false,false,false,unknown,false,false,true,critical,medium,low_kik_share;bad_photo;posm_absent;no_monobrand_block;kik_mixed_with_competitors,"Плохое фото. Доля КИК низкая — около 20%. Видны в основном стаканчики и полено, основной ассортимент не представлен. Нет POSM, нет монобрендового блока, КИК перемешан с конкурентами."
photo_008.jpg,true,true,display_freezer,true,medium,full,true,true,14,100,70,true,true,true,true,false,true,true,false,false,false,true,true,false,false,false,attention,medium,posm_absent;foreign_label_visible,"Брендированный ларь. КИК занимает весь ларь, SKU много, заполненность около 70%. Не представлен сэндвич."
photo_009.jpg,true,true,display_freezer,unknown,medium,partial,partial,true,14,100,50,true,true,true,false,true,true,true,false,false,false,true,unknown,false,false,false,attention,medium,low_fill_level;posm_absent;partial_photo,"КИК занимает весь видимый ларь, но общая заполненность около 50%. POSM отсутствуют. Фото вертикальное и обрезанное — не весь ларь попал в кадр."
photo_010.jpg,true,true,display_freezer,unknown,medium,full,true,true,8,40,60,true,true,true,true,false,true,false,unknown,unknown,false,false,unknown,false,false,true,attention,medium,low_kik_share;posm_absent;no_monobrand_block;kik_mixed_with_competitors,"КИК есть, доля около 40%, заполненность около 60%. Видны стаканчики, эскимо и рожок. Есть малая заполненность отсека с КИК. Часть SKU не перечислена, но указано 8+."
